"g250m","dis_relig","dis_dentis","dis_groce","dis_gym","dis_hdware","dis_mall","dis_restrt","dis_school","pct_access","pct_ov30","rway","dis_exit","dis_subway","dis_crail","dis_bus","dis_parking","avgsw","pct_cur","pct_sw","popden","lumix","rdden","ndden","ndden_n3","ndden_n4","pct_n4","ujaccess","fac1_nw","fac2_connectivity","fac3_transit","fac4_auto","fac5_walk","community_","town_name","codas","pct_sch13","pct_owner","inc_med_hs","pct_pov","pct_white","pct_under5","pct_old65","pct_ov2car","inc_capita","pct_elsc_sch","pct_less3hsh","pct_labor","pct_unempl","f1_wealth","f2_children","f3_working","vmt_tot_mv","vin_mv","hh_mv","pop_mv","Walkscore","Walkscore.Desc","Transitscore","Transitscore.Desc","Bikescore","Bikescore.Desc","be_f1","be_f2","be_f3","be_f4","be_f5","be_f1_norm","dem_f1","dem_f2","dem_f3","res_ols_m1","res_ols_m2","res_ols_m3"
126418,1000,2000,353,2000,901,2850,1000,559,0,0,44.83523,2251,2283,643,129,692,9.06206,0.80296,0.7738,4336,0.71177,15441.77778,115.55556,76.44444,16,0.13846,472612.8035,-0.20482,2.72487,-1.24453,-0.01441,1.46969,"Inner Core","Somerville",1,0.867549668874172,0.481481481481481,57500,0.0277777777777778,0.990486257928118,0.080338266384778,0.13107822410148,0.099537037037037,26997,0.191278493557978,0.600985221674877,0.73728813559322,0.0656814449917898,0.0661482448200131,-0.218507922976667,0.38853450589484,9756733,985,1092,2439,69,"Somewhat Walkable",53,"Good Transit",0,"Not Bikeable",9.4762878,391133.896905,-641.2252252,113188.9105784,5838.8454794,49.7540981123273,58690.2011130793,15659.7343240646,0.471041136632386,-1338.72336537295,-1063.77547412901,-2414.51304311639
126419,1000,2000,250,2000,707,2926,1000,500,0,0,45.57433,2004,2216,759,96,821,9.03093,0.77195,0.76223,4398.22222,0.75837,17088,115.55556,88.88889,12.44444,0.10769,472612.8035,-0.32517,2.75176,-1.18216,0.01483,1.40921,"Inner Core","Somerville",1,0.867549668874172,0.481481481481481,57500,0.0277777777777778,0.990486257928118,0.080338266384778,0.13107822410148,0.099537037037037,26997,0.191278493557978,0.600985221674877,0.73728813559322,0.0656814449917898,0.0661482448200131,-0.218507922976667,0.38853450589484,8709533,930,1171,2474,77,"Very Walkable",52,"Good Transit",0,"Not Bikeable",9.4105702,391284.786905,-566.5635092,113561.10745,6777.2968414,49.3777303942355,58690.2011130793,15659.7343240646,0.471041136632386,-3106.86964010363,-2680.53309568268,-4066.81020629893
127230,1000,2000,559,2000,790,2610,1000,559,0,0,41.61292,2044,2048,884,309,928,7.96298,0.73333,0.66076,4874.66667,0.65929,14503.11111,112,78.22222,12.44444,0.11111,472612.8035,-0.27603,2.57792,-1.27556,-0.07419,1.18304,"Inner Core","Somerville",1,0.867549668874172,0.481481481481481,57500,0.0277777777777778,0.990486257928118,0.080338266384778,0.13107822410148,0.099537037037037,26997,0.191278493557978,0.600985221674877,0.73728813559322,0.0656814449917898,0.0661482448200131,-0.218507922976667,0.38853450589484,11529031,1145,1221,2742,65,"Somewhat Walkable",53,"Good Transit",0,"Not Bikeable",8.3343999,391528.086905,-581.5741808,113113.4444352,5398.0905988,43.2144535842308,58690.2011130793,15659.7343240646,0.471041136632386,-983.686374862859,-570.815536125655,-1865.56489378443
128046,1000,2000,559,2000,750,2371,1000,500,0,0,38.35205,1833,1816,1129,487,1169,7.69671,0.69596,0.65597,5872,0.46244,15288.88889,131.55556,103.11111,10.66667,0.08108,494162.55789,-0.15891,3.02965,-1.29221,-0.17913,1.08333,"Inner Core","Somerville",1,0.70197486535009,0.126614987080103,25550,0.376344086021505,0.676842105263158,0.12,0.0894736842105263,0.0490956072351421,19744,0.189473684210526,0.614814814814815,0.681620839363242,0.0552016985138004,-1.61727966787864,0.0408943364816077,0.517407058424689,14544148,1441,1496,3303,59,"Somewhat Walkable",0,"No Nearby Transit",0,"Not Bikeable",8.0598493,409809.9830487,-520.752442,118486.7270888,5869.1861818,41.6420896691953,29720.415792114,11452.6820557229,0.462427831518014,1080.47723994194,1585.38480666299,135.648391408957
128047,1000,2000,500,2000,500,2462,1000,559,0,0,43.10707,1985,1731,1199,319,1250,10.28704,0.87449,0.80881,8080,0.43931,18096,128,103.11111,19.55556,0.15277,472612.8035,0.1516,3.91949,-1.07693,-0.0768,1.74543,"Inner Core","Somerville",1,0.867549668874172,0.481481481481481,57500,0.0277777777777778,0.990486257928118,0.080338266384778,0.13107822410148,0.099537037037037,26997,0.191278493557978,0.600985221674877,0.73728813559322,0.0656814449917898,0.0661482448200131,-0.218507922976667,0.38853450589484,15443405,1573,1542,4545,72,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",10.6616907,392034.936905,-562.7386268,114706.7394782,7378.7866482,56.5429550470357,58690.2011130793,15659.7343240646,0.471041136632386,802.538525669583,392.080315654494,-849.172845758685
128842,1000,2000,353,2000,790,2136,1000,559,0,0,39.20848,1633,1590,1376,366,1414,8.63548,0.72593,0.72096,6423.11111,0.5092,14819.55556,112,83.55556,17.77778,0.15873,494162.55789,-0.08935,3.17495,-1.21739,-0.12324,1.27673,"Inner Core","Somerville",1,0.70197486535009,0.126614987080103,25550,0.376344086021505,0.676842105263158,0.12,0.0894736842105263,0.0490956072351421,19744,0.189473684210526,0.614814814814815,0.681620839363242,0.0552016985138004,-1.61727966787864,0.0408943364816077,0.517407058424689,17107420,1807,1548,3613,65,"Somewhat Walkable",0,"No Nearby Transit",0,"Not Bikeable",8.9805189,410173.8630487,-460.1015552,118529.5271691,5734.719804,46.9148068175466,29720.415792114,11452.6820557229,0.462427831518014,2489.55950666717,3044.96449098687,1588.61127445194
128843,1000,2000,559,2000,559,2236,1000,353,0,0,43.50909,1802,1492,1433,497,1481,11.12774,0.9148,0.8941,9292.44444,0.34193,16768,110.22222,87.11111,19.55556,0.17741,500524.22657,0.2528,3.78675,-1.14995,-0.05459,2.13665,"Inner Core","Somerville",1,0.884615384615385,0.405345211581292,62101,0.11988582302569,0.882464454976303,0.0161137440758294,0.139336492890995,0.0913140311804009,29532,0.0314585319351764,0.785562632696391,0.728346456692913,0.00810810810810811,0.0980821432888676,-1.89658669632703,0.4502288243524,16148904,1676,1700,5227,76,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",11.5225506,415593.5280531,-507.5330916,121139.6047777,6743.4752246,61.473139292348,63562.2935831787,17130.3295851603,0.456957681830056,916.205551310141,518.959015081328,-767.517945639881
128844,1000,2000,353,2000,353,2304,1000,250,0,0,40.71298,1798,1432,1531,342,1586,10.89288,0.86942,0.90194,8506.66667,0.396,18440.88889,106.66667,81.77778,21.33333,0.2,504923.59447,0.13565,3.76375,-1.11179,-0.05958,1.97606,"Inner Core","Somerville",1,0.885196374622356,0.331877729257642,61250,0.192495921696574,0.948952879581152,0.0196335078534031,0.0693717277486911,0.109170305676856,18770,0.06265664160401,0.463302752293578,0.700399467376831,0.064638783269962,-0.369630823908861,-0.832275108652823,0.877620648323696,14825102,1540,1380,4785,72,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",11.280193,419360.3234101,-508.4581352,122325.2411601,7745.221565,60.0851461691328,57823.2274829564,10888.0844592572,0.494349610641309,1644.05918870163,1090.33562982432,-118.349844330831
129638,1000,1000,250,2000,559,1903,1000,500,0,0,40.06426,1448,1373,1623,166,1578,10.01941,0.77674,0.78722,8424.88889,0.51506,15518.22222,126.22222,90.66667,23.11111,0.18309,494162.55789,-0.0032,3.9353,-1.04941,-0.12345,1.51739,"Inner Core","Somerville",1,0.70197486535009,0.126614987080103,25550,0.376344086021505,0.676842105263158,0.12,0.0894736842105263,0.0490956072351421,19744,0.189473684210526,0.614814814814815,0.681620839363242,0.0552016985138004,-1.61727966787864,0.0408943364816077,0.517407058424689,17552286,1881,2119,4739,81,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",10.3170715,410482.5930487,-403.9511624,119187.595533,6294.0144232,54.5693050367703,29720.415792114,11452.6820557229,0.462427831518014,396.698841837364,828.306893697634,-642.837548706637
129639,1000,2000,353,2000,500,2015,1000,250,0,0,44.56765,1637,1258,1673,300,1718,12.22827,0.93517,0.94052,10744.88889,0.31296,17676.44444,126.22222,101.33333,19.55556,0.15492,500524.22657,0.29834,4.28065,-1.02303,-0.05985,2.34173,"Inner Core","Somerville",1,0.884615384615385,0.405345211581292,62101,0.11988582302569,0.882464454976303,0.0161137440758294,0.139336492890995,0.0913140311804009,29532,0.0314585319351764,0.785562632696391,0.728346456692913,0.00810810810810811,0.0980821432888676,-1.89658669632703,0.4502288243524,18443404,1940,2056,6044,80,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",12.5619296,415949.4280531,-457.228586,121700.9646569,7360.4110712,67.4257106349188,63562.2935831787,17130.3295851603,0.456957681830056,787.473669440044,143.397905675291,-1114.95977447843
